^^^ ^^ ^ alice
hear the rabbit say
the rabbit say to
rabbit say to itself
say to itself oh
to itself oh dear
itself oh dear oh
oh dear oh dear
dear oh dear i
oh dear i shall
dear i shall be
i shall be late
shall be late when
be late when she
late when she thought
when she thought it
she thought it over
thought it over afterwards
it over afterwards it
over afterwards it occurred
afterwards it occurred to
it occurred to her
occurred to her that
to her that she
her that she ought
that she ought to
she ought to have
ought to have wondered
to have wondered at
have wondered at this
wondered at this but
at this but at
this but at the
but at the time
at the time it
the time it all
time it all seemed
it all seemed quite
all seemed quite natural
seemed quite natural but
quite natural but when
natural but when the
but when the rabbit
when the rabbit actually
the rabbit actually took
rabbit actually took a
actually took a watch
took a watch out
a watch out of
watch out of its
out of its waistcoat
of its waistcoat pocket
its waistcoat pocket and
waistcoat pocket and looked
pocket and looked at
and looked at it
looked at it and
at it and then
it and then hurried
and then hurried on
then hurried on alice
hurried on alice started
on alice started to
alice started to her
started to her feet
to her feet for
her feet for it
feet for it flashed
for it flashed across
it flashed across her
flashed across her mind
across her mind that
her mind that she
mind that she had
that she had never
she had never before
had never before seen
never before seen a
before seen a rabbit
seen a rabbit with
a rabbit with either
rabbit with either a
with either a waistcoat
either a waistcoat pocket
a waistcoat pocket or
waistcoat pocket or a
pocket or a watch
or a watch to
a watch to take
watch to take out
to take out of
take out of it
out of it and
of it and burning
it and burning with
and burning with curiosity
burning with curiosity she
with curiosity she ran
curiosity she ran across
she ran across the
ran across the field
across the field after
the field after it
field after it and
after it and fortunately
it and fortunately was
and fortunately was just
fortunately was just in
was just in time
just in time to
in time to see
time to see it
to see it pop
see it pop down
it pop down a
pop down a large
down a large rabbit
a large rabbit hole
large rabbit hole under
rabbit hole under the
hole under the hedge
under the hedge in
the hedge in another
hedge in another moment
in another moment down
another moment down went
moment down went alice
down went alice after
went alice after it
alice after it never
after it never once
it never once considering
never once considering how
once considering how in
considering how in the
how in the world
in the world she
the world she was
world she was to
she was to get
was to get out
to get out again
get out again the
out again the rabbit
again the rabbit hole
the rabbit hole went
rabbit hole went straight
hole went straight on
went straight on like
straight on like a
on like a tunnel
like a tunnel for
a tunnel for some
tunnel for some way
for some way and
some way and then
way and then dipped
and then dipped suddenly
then dipped suddenly down
dipped suddenly down so
suddenly down so suddenly
down so suddenly that
so suddenly that alice
suddenly that alice had
that alice had not
alice had not a
had not a moment
not a moment to
a moment to think
moment to think about
to think about stopping
think about stopping herself
about stopping herself before
stopping herself before she
herself before she found
before she found herself
she found herself falling
found herself falling down
herself falling down a
falling down a very
down a very deep
a very deep well
very deep well either
deep well either the
well either the well
either the well was
the well was very
well was very deep
was very deep or
very deep or she
deep or she fell
or she fell very
she fell very slowly
fell very slowly for
very slowly for she
slowly for she had
for she had plenty
she had plenty of
had plenty of time
plenty of time as
of time as she
time as she went
as she went down
she went down to
went down to look
down to look about
to look about her
look about her and
about her and to
her and to wonder
and to wonder what
to wonder what was
wonder what was going
what was going to
was going to happen
going to happen next
to happen next first
happen next first she
next first she tried
first she tried to
she tried to look
tried to look down
to look down and
look down and make
down and make out
and make out what
make out what she
out what she was
what she was coming
she was coming to
was coming to but
coming to but it
to but it was
but it was too
it was too dark
was too dark to
too dark to see
dark to see anything
to see anything then
see anything then she
anything then she looked
then she looked at
she looked at the
looked at the sides
at the sides of
the sides of the
sides of the well
of the well and
the well and noticed
well and noticed that
and noticed that they
noticed that they were
that they were filled
they were filled with
were filled with cupboards
filled with cupboards and
with cupboards and book
cupboards and book shelves
and book shelves here
book shelves here and
shelves here and there
here and there she
and there she saw
there she saw maps
she saw maps and
saw maps and pictures
maps and pictures hung
and pictures hung upon
pictures hung upon pegs
hung upon pegs she
upon pegs she took
pegs she took down
she took down a
took down a jar
down a jar from
a jar from one
jar from one of
from one of the
one of the shelves
of the shelves as
the shelves as she
shelves as she passed
as she passed it
she passed it was
passed it was labelled
it was labelled orange
was labelled orange marmalade
labelled orange marmalade but
orange marmalade but to
marmalade but to her
but to her great
to her great disappointment
her great disappointment it
great disappointment it was
disappointment it was empty
it was empty she
was empty she did
empty she did not
she did not like
did not like to
not like to drop
like to drop the
to drop the jar
drop the jar for
the jar for fear
jar for fear of
for fear of killing
fear of killing somebody
of killing somebody so
killing somebody so managed
somebody so managed to
so managed to put
managed to put it
to put it into
put it into one
it into one of
into one of the
one of the cupboards
of the cupboards as
the cupboards as she
cupboards as she fell
as she fell past
she fell past it
fell past it well
past it well thought
it well thought alice
well thought alice to
thought alice to herself
alice to herself after
to herself after such
herself after such a
after such a fall
such a fall as
a fall as this
fall as this i
as this i shall
this i shall think
i shall think nothing
shall think nothing of
think nothing of tumbling
nothing of tumbling down
of tumbling down stairs
tumbling down stairs how
down stairs how brave
stairs how brave they
how brave they all
brave they all think
they all think me
all think me at
think me at home
me at home why
at home why i
home why i wouldn
why i wouldn say
i wouldn say anything
wouldn say anything about
say anything about it
anything about it even
about it even if
it even if i
even if i fell
if i fell off
i fell off the
fell off the top
off the top of
the top of the
top of the house
of the house which
the house which was
house which was very
which was very likely
was very likely true
very likely true down
likely true down down
true down down down
down down down would
down down would the
down would the fall
would the fall never
the fall never come
fall never come to
never come to an
come to an end
to an end i
an end i wonder
end i wonder how
i wonder how many
wonder how many miles
how many miles i
many miles i ve
miles i ve fallen
i ve fallen by
ve fallen by this
fallen by this time
by this time she
this time she said
time she said aloud
she said aloud i
said aloud i must
aloud i must be
i must be getting
must be getting somewhere
be getting somewhere near
getting somewhere near the
somewhere near the centre
near the centre of
the centre of the
centre of the earth
of the earth let
the earth let me
earth let me see
let me see that
me see that would
see that would be
that would be four
would be four thousand
be four thousand miles
four thousand miles down
thousand miles down i
miles down i think
down i think for
i think for you
think for you see
for you see alice
you see alice had
see alice had learnt
alice had learnt several
had learnt several things
learnt several things of
several things of this
things of this sort
of this sort in
this sort in her
sort in her lessons
in her lessons in
her lessons in the
lessons in the schoolroom
in the schoolroom and
the schoolroom and though
schoolroom and though this
and though this was
though this was not
this was not a
was not a very
not a very good
a very good opportunity
very good opportunity for
good opportunity for showing
opportunity for showing off
for showing off her
showing off her knowledge
off her knowledge as
her knowledge as there
knowledge as there was
as there was no
there was no one
was no one to
no one to listen
one to listen to
to listen to her
listen to her still
to her still it
her still it was
still it was good
it was good practice
was good practice to
good practice to say
practice to say it
to say it over
say it over yes
it over yes that
over yes that about
yes that about the
that about the right
about the right distance
the right distance but
right distance but then
distance but then i
but then i wonder
then i wonder what
i wonder what latitude
wonder what latitude or
what latitude or longitude
latitude or longitude i
or longitude i ve
longitude i ve got
i ve got to
ve got to alice
got to alice had
to alice had no
alice had no idea
had no idea what
no idea what latitude
idea what latitude was
what latitude was or
latitude was or longitude
was or longitude either
or longitude either but
longitude either but thought
either but thought they
but thought they were
thought they were nice
they were nice grand
were nice grand words
nice grand words to
grand words to say
words to say presently
to say presently she
say presently she began
presently she began again
she began again i
began again i wonder
again i wonder if
i wonder if i
wonder if i shall
if i shall fall
i shall fall right
shall fall right through
fall right through the
right through the earth
through the earth how
the earth how funny
earth how funny it
how funny it seem
funny it seem to
it seem to come
seem to come out
to come out among
come out among the
out among the people
among the people that
the people that walk
people that walk with
that walk with their
walk with their heads
with their heads downward
their heads downward the
heads downward the antipathies
downward the antipathies i
the antipathies i think
antipathies i think she
i think she was
think she was rather
she was rather glad
was rather glad there
rather glad there was
glad there was no
there was no one
was no one listening
no one listening this
one listening this time
listening this time as
this time as it
time as it didn
as it didn sound
it didn sound at
didn sound at all
sound at all the
at all the right
all the right word
the right word but
right word but i
word but i shall
but i shall have
i shall have to
shall have to ask
have to ask them
to ask them what
ask them what the
them what the name
what the name of
the name of the
name of the country
of the country is
the country is you
country is you know
is you know please
you know please ma
know please ma am
please ma am is
ma am is this
am is this new
is this new zealand
this new zealand or
new zealand or australia
zealand or australia and
or australia and she
australia and she tried
and she tried to
she tried to curtsey
tried to curtsey as
to curtsey as she
curtsey as she spoke
as she spoke fancy
she spoke fancy curtseying
spoke fancy curtseying as
fancy curtseying as you
curtseying as you re
as you re falling
you re falling through
re falling through the
falling through the air
through the air do
the air do you
air do you think
do you think you
you think you could
think you could manage
you could manage it
could manage it and
manage it and what
it and what an
and what an ignorant
what an ignorant little
an ignorant little girl
ignorant little girl she
little girl she think
girl she think me
she think me for
think me for asking
me for asking no
for asking no it
asking no it never
no it never do
it never do to
never do to ask
do to ask perhaps
to ask perhaps i
ask perhaps i shall
perhaps i shall see
i shall see it
shall see it written
see it written up
it written up somewhere
written up somewhere down
up somewhere down down
somewhere down down down
down down down there
down down there was
down there was nothing
there was nothing else
was nothing else to
nothing else to do
else to do so
to do so alice
do so alice soon
so alice soon began
alice soon began talking
soon began talking again
began talking again dinah
talking again dinah miss
again dinah miss me
dinah miss me very
miss me very much
me very much to
very much to night
much to night i
to night i should
night i should think
i should think dinah
should think dinah was
think dinah was the
dinah was the cat
was the cat i
the cat i hope
cat i hope they
i hope they remember
hope they remember her
they remember her saucer
remember her saucer of
her saucer of milk
saucer of milk at
of milk at tea
milk at tea time
at tea time dinah
tea time dinah my
time dinah my dear
dinah my dear i
my dear i wish
dear i wish you
i wish you were
wish you were down
you were down here
were down here with
down here with me
here with me there
with me there are
me there are no
there are no mice
are no mice in
no mice in the
mice in the air
in the air i
the air i afraid
air i afraid but
i afraid but you
afraid but you might
but you might catch
you might catch a
might catch a bat
catch a bat and
a bat and that
bat and that very
and that very like
that very like a
very like a mouse
like a mouse you
a mouse you know
mouse you know but
you know but do
know but do cats
but do cats eat
do cats eat bats
cats eat bats i
eat bats i wonder
bats i wonder and
i wonder and here
wonder and here alice
and here alice began
here alice began to
alice began to get
began to get rather
to get rather sleepy
get rather sleepy and
rather sleepy and went
sleepy and went on
and went on saying
went on saying to
on saying to herself
saying to herself in
to herself in a
herself in a dreamy
in a dreamy sort
a dreamy sort of
dreamy sort of way
sort of way do
of way do cats
way do cats eat
do cats eat bats
cats eat bats do
eat bats do cats
bats do cats eat
do cats eat bats
cats eat bats and
eat bats and sometimes
bats and sometimes do
and sometimes do bats
sometimes do bats eat
do bats eat cats
bats eat cats for
eat cats for you
cats for you see
for you see as
you see as she
see as she couldn
as she couldn answer
she couldn answer either
couldn answer either question
answer either question it
either question it didn
question it didn much
it didn much matter
didn much matter which
much matter which way
matter which way she
which way she put
way she put it
she put it she
put it she felt
it she felt that
she felt that she
felt that she was
that she was dozing
she was dozing off
was dozing off and
dozing off and had
off and had just
and had just begun
had just begun to
just begun to dream
begun to dream that
to dream that she
dream that she was
that she was walking
she was walking hand
was walking hand in
walking hand in hand
hand in hand with
in hand with dinah
hand with dinah and
with dinah and saying
dinah and saying to
and saying to her
saying to her very
to her very earnestly
her very earnestly now
very earnestly now dinah
earnestly now dinah tell
now dinah tell me
dinah tell me the
tell me the truth
me the truth did
the truth did you
truth did you ever
did you ever eat
you ever eat a
ever eat a bat
eat a bat when
a bat when suddenly
bat when suddenly thump
when suddenly thump thump
suddenly thump thump down
thump thump down she
thump down she came
down she came upon
she came upon a
came upon a heap
upon a heap of
a heap of sticks
heap of sticks and
of sticks and dry
sticks and dry leaves
and dry leaves and
dry leaves and the
leaves and the fall
and the fall was
the fall was over
fall was over alice
was over alice was
over alice was not
alice was not a
was not a bit
not a bit hurt
a bit hurt and
bit hurt and she
hurt and she jumped
and she jumped up
she jumped up on
jumped up on to
up on to her
on to her feet
to her feet in
her feet in a
feet in a moment
in a moment she
a moment she looked
moment she looked up
she looked up but
looked up but it
up but it was
but it was all
it was all dark
was all dark overhead
all dark overhead before
dark overhead before her
overhead before her was
before her was another
her was another long
was another long passage
another long passage and
long passage and the
passage and the white
and the white rabbit
the white rabbit was
white rabbit was still
rabbit was still in
was still in sight
still in sight hurrying
in sight hurrying down
sight hurrying down it
hurrying down it there
down it there was
it there was not
there was not a
was not a moment
not a moment to
a moment to be
moment to be lost
to be lost away
be lost away went
lost away went alice
away went alice like
went alice like the
alice like the wind
like the wind and
the wind and was
wind and was just
and was just in
was just in time
just in time to
in time to hear
time to hear it
to hear it say
hear it say as
it say as it
say as it turned
as it turned a
it turned a corner
turned a corner oh
a corner oh my
corner oh my ears
oh my ears and
my ears and whiskers
ears and whiskers how
and whiskers how late
whiskers how late it
how late it getting
late it getting she
it getting she was
getting she was close
she was close behind
was close behind it
close behind it when
behind it when she
it when she turned
when she turned the
she turned the corner
turned the corner but
the corner but the
corner but the rabbit
but the rabbit was
the rabbit was no
rabbit was no longer
was no longer to
no longer to be
longer to be seen
to be seen she
be seen she found
seen she found herself
she found herself in
found herself in a
herself in a long
in a long low
a long low hall
long low hall which
low hall which was
hall which was lit
which was lit up
was lit up by
lit up by a
up by a row
by a row of
a row of lamps
row of lamps hanging
of lamps hanging from
lamps hanging from the
hanging from the roof
from the roof there
the roof there were
roof there were doors
there were doors all
were doors all round
doors all round the
all round the hall
round the hall but
the hall but they
hall but they were
but they were all
they were all locked
were all locked and
all locked and when
locked and when alice
and when alice had
when alice had been
alice had been all
had been all the
been all the way
all the way down
the way down one
way down one side
down one side and
one side and up
side and up the
and up the other
up the other trying
the other trying every
other trying every door
trying every door she
every door she walked
door she walked sadly
she walked sadly down
walked sadly down the
sadly down the middle
down the middle wondering
the middle wondering how
middle wondering how she
wondering how she was
how she was ever
she was ever to
was ever to get
ever to get out
to get out again
get out again suddenly
out again suddenly she
again suddenly she came
suddenly she came upon
she came upon a
came upon a little
upon a little three
a little three legged
little three legged table
three legged table all
legged table all made
table all made of
all made of solid
made of solid glass
of solid glass there
solid glass there was
glass there was nothing
there was nothing on
was nothing on it
nothing on it except
on it except a
it except a tiny
except a tiny golden
a tiny golden key
tiny golden key and
golden key and alice
key and alice first
and alice first thought
alice first thought was
first thought was that
thought was that it
was that it might
that it might belong
it might belong to
might belong to one
belong to one of
to one of the
one of the doors
of the doors of
the doors of the
doors of the hall
of the hall but
the hall but alas
hall but alas either
but alas either the
alas either the locks
either the locks were
the locks were too
locks were too large
were too large or
too large or the
large or the key
or the key was
the key was too
key was too small
was too small but
too small but at
small but at any
but at any rate
at any rate it
any rate it would
rate it would not
it would not open
would not open any
not open any of
open any of them
any of them however
of them however on
them however on the
however on the second
on the second time
the second time round
second time round she
time round she came
round she came upon
she came upon a
came upon a low
upon a low curtain
a low curtain she
low curtain she had
curtain she had not
she had not noticed
had not noticed before
not noticed before and
noticed before and behind
before and behind it
and behind it was
behind it was a
it was a little
was a little door
a little door about
little door about fifteen
door about fifteen inches
about fifteen inches high
fifteen inches high she
inches high she tried
high she tried the
she tried the little
tried the little golden
the little golden key
little golden key in
golden key in the
key in the lock
in the lock and
the lock and to
lock and to her
and to her great
to her great delight
her great delight it
great delight it fitted
delight it fitted alice
it fitted alice opened
fitted alice opened the
alice opened the door
opened the door and
the door and found
door and found that
and found that it
found that it led
that it led into
it led into a
led into a small
into a small passage
a small passage not
small passage not much
passage not much larger
not much larger than
much larger than a
larger than a rat
than a rat hole
a rat hole she
rat hole she knelt
hole she knelt down
she knelt down and
knelt down and looked
down and looked along
and looked along the
looked along the passage
along the passage into
the passage into the
passage into the loveliest
into the loveliest garden
the loveliest garden you
loveliest garden you ever
garden you ever saw
you ever saw how
ever saw how she
saw how she longed
how she longed to
she longed to get
longed to get out
to get out of
get out of that
out of that dark
of that dark hall
that dark hall and
dark hall and wander
hall and wander about
and wander about among
wander about among those
about among those beds
among those beds of
those beds of bright
beds of bright flowers
of bright flowers and
bright flowers and those
flowers and those cool
and those cool fountains
those cool fountains but
cool fountains but she
fountains but she could
but she could not
she could not even
could not even get
not even get her
even get her head
get her head through
her head through the
head through the doorway
through the doorway and
the doorway and even
doorway and even if
and even if my
even if my head
if my head would
my head would go
head would go through
would go through thought
go through thought poor
through thought poor alice
thought poor alice it
poor alice it would
alice it would be
it would be of
would be of very
be of very little
of very little use
very little use without
little use without my
use without my shoulders
without my shoulders oh
my shoulders oh how
shoulders oh how i
oh how i wish
how i wish i
i wish i could
wish i could shut
i could shut up
could shut up like
shut up like a
up like a telescope
like a telescope i
a telescope i think
telescope i think i
i think i could
think i could if
i could if i
could if i only
if i only knew
i only knew how
only knew how to
knew how to begin
how to begin for
to begin for you
begin for you see
for you see so
you see so many
see so many out
so many out of
many out of the
out of the way
of the way things
the way things had
way things had happened
things had happened lately
had happened lately that
happened lately that alice
lately that alice had
that alice had begun
alice had begun to
had begun to think
begun to think that
to think that very
think that very few
that very few things
very few things indeed
few things indeed were
things indeed were really
indeed were really impossible
were really impossible there
really impossible there seemed
impossible there seemed to
there seemed to be
seemed to be no
to be no use
be no use in
no use in waiting
use in waiting by
in waiting by the
waiting by the little
by the little door
the little door so
little door so she
door so she went
so she went back
she went back to
went back to the
back to the table
to the table half
the table half hoping
table half hoping she
half hoping she might
hoping she might find
she might find another
might find another key
find another key on
another key on it
key on it or
on it or at
it or at any
or at any rate
at any rate a
any rate a book
rate a book of
a book of rules
book of rules for
of rules for shutting
rules for shutting people
for shutting people up
shutting people up like
people up like telescopes
up like telescopes this
like telescopes this time
telescopes this time she
this time she found
time she found a
she found a little
found a little bottle
a little bottle on
little bottle on it
bottle on it which
on it which certainly
it which certainly was
which certainly was not
certainly was not here
was not here before
not here before said
here before said alice
before said alice and
said alice and round
alice and round the
and round the neck
round the neck of
the neck of the
neck of the bottle
of the bottle was
the bottle was a
bottle was a paper
was a paper label
a paper label with
paper label with the
label with the words
with the words drink
the words drink me
words drink me beautifully
drink me beautifully printed
me beautifully printed on
beautifully printed on it
printed on it in
on it in large
it in large letters
in large letters it
large letters it was
letters it was all
it was all very
was all very well
all very well to
very well to say
well to say drink
to say drink me
say drink me but
drink me but the
me but the wise
but the wise little
the wise little alice
wise little alice was
little alice was not
alice was not going
was not going to
not going to do
going to do that
to do that in
do that in a
that in a hurry
in a hurry no
a hurry no i
hurry no i look
no i look first
i look first she
look first she said
first she said and
she said and see
said and see whether
and see whether it
see whether it marked
whether it marked poison
it marked poison or
marked poison or not
poison or not for
or not for she
not for she had
for she had read
she had read several
had read several nice
read several nice little
several nice little histories
nice little histories about
little histories about children
histories about children who
about children who had
children who had got
who had got burnt
had got burnt and
got burnt and eaten
burnt and eaten up
and eaten up by
eaten up by wild
up by wild beasts
by wild beasts and
wild beasts and other
beasts and other unpleasant
and other unpleasant things
other unpleasant things all
unpleasant things all because
things all because they
all because they would
because they would not
they would not remember
would not remember the
not remember the simple
remember the simple rules
the simple rules their
simple rules their friends
rules their friends had
their friends had taught
friends had taught them
had taught them such
taught them such as
them such as that
such as that a
as that a red
that a red hot
a red hot poker
red hot poker will
hot poker will burn
poker will burn you
will burn you if
burn you if you
you if you hold
if you hold it
you hold it too
hold it too long
it too long and
too long and that
long and that if
and that if you
that if you cut
if you cut your
you cut your finger
cut your finger very
your finger very deeply
finger very deeply with
very deeply with a
deeply with a knife
with a knife it
a knife it usually
knife it usually bleeds
it usually bleeds and
usually bleeds and she
bleeds and she had
and she had never
she had never forgotten
had never forgotten that
never forgotten that if
forgotten that if you
that if you drink
if you drink much
you drink much from
drink much from a
much from a bottle
from a bottle marked
a bottle marked poison
bottle marked poison it
marked poison it is
poison it is almost
it is almost certain
is almost certain to
almost certain to disagree
certain to disagree with
to disagree with you
disagree with you sooner
with you sooner or
you sooner or later
sooner or later however
or later however this
later however this bottle
however this bottle was
this bottle was not
bottle was not marked
was not marked poison
not marked poison so
marked poison so alice
poison so alice ventured
so alice ventured to
alice ventured to taste
ventured to taste it
to taste it and
taste it and finding
it and finding it
and finding it very
finding it very nice
it very nice it
very nice it had
nice it had in
it had in fact
had in fact a
in fact a sort
fact a sort of
a sort of mixed
sort of mixed flavour
of mixed flavour of
mixed flavour of cherry
flavour of cherry tart
of cherry tart custard
cherry tart custard pine
tart custard pine apple
custard pine apple roast
pine apple roast turkey
apple roast turkey toffee
roast turkey toffee and
turkey toffee and hot
toffee and hot buttered
and hot buttered toast
hot buttered toast she
buttered toast she very
toast she very soon
she very soon finished
very soon finished it
soon finished it off
finished it off what
it off what a
off what a curious
what a curious feeling
a curious feeling said
curious feeling said alice
feeling said alice i
said alice i must
alice i must be
i must be shutting
must be shutting up
be shutting up like
shutting up like a
up like a telescope
like a telescope and
a telescope and so
telescope and so it
and so it was
so it was indeed
it was indeed she
was indeed she was
indeed she was now
she was now only
was now only ten
now only ten inches
only ten inches high
ten inches high and
inches high and her
high and her face
and her face brightened
her face brightened up
face brightened up at
brightened up at the
up at the thought
at the thought that
the thought that she
thought that she was
that she was now
she was now the
was now the right
now the right size
the right size for
right size for going
size for going through
for going through the
going through the little
through the little door
the little door into
little door into that
door into that lovely
into that lovely garden
that lovely garden first
lovely garden first however
garden first however she
first however she waited
however she waited for
she waited for a
waited for a few
for a few minutes
a few minutes to
few minutes to see
minutes to see if
to see if she
see if she was
if she was going
she was going to
was going to shrink
going to shrink any
to shrink any further
shrink any further she
any further she felt
further she felt a
she felt a little
felt a little nervous
a little nervous about
little nervous about this
nervous about this for
about this for it
this for it might
for it might end
it might end you
might end you know
end you know said
you know said alice
know said alice to
said alice to herself
alice to herself in
to herself in my
herself in my going
in my going out
my going out altogether
going out altogether like
out altogether like a
altogether like a candle
like a candle i
a candle i wonder
candle i wonder what
i wonder what i
wonder what i should
what i should be
i should be like
should be like then
be like then and
like then and she
then and she tried
and she tried to
she tried to fancy
tried to fancy what
to fancy what the
fancy what the flame
what the flame of
the flame of a
flame of a candle
of a candle is
a candle is like
candle is like after
is like after the
like after the candle
after the candle is
the candle is blown
candle is blown out
is blown out for
blown out for she
out for she could
for she could not
she could not remember
could not remember ever
not remember ever having
remember ever having seen
ever having seen such
having seen such a
seen such a thing
such a thing after
a thing after a
thing after a while
after a while finding
a while finding that
while finding that nothing
finding that nothing more
that nothing more happened
nothing more happened she
more happened she decided
happened she decided on
she decided on going
decided on going into
on going into the
going into the garden
into the garden at
the garden at once
garden at once but
at once but alas
once but alas for
but alas for poor
alas for poor alice
for poor alice when
poor alice when she
alice when she got
when she got to
she got to the
got to the door
to the door she
the door she found
door she found she
she found she had
found she had forgotten
she had forgotten the
had forgotten the little
forgotten the little golden
the little golden key
little golden key and
golden key and when
key and when she
and when she went
when she went back
she went back to
went back to the
back to the table
to the table for
the table for it
table for it she
for it she found
it she found she
she found she could
found she could not
she could not possibly
could not possibly reach
not possibly reach it
possibly reach it she
reach it she could
it she could see
she could see it
could see it quite
see it quite plainly
it quite plainly through
quite plainly through the
plainly through the glass
through the glass and
the glass and she
glass and she tried
and she tried her
she tried her best
tried her best to
her best to climb
best to climb up
to climb up one
climb up one of
up one of the
one of the legs
of the legs of
the legs of the
legs of the table
of the table but
the table but it
table but it was
but it was too
it was too slippery
was too slippery and
too slippery and when
slippery and when she
and when she had
when she had tired
she had tired herself
had tired herself out
tired herself out with
herself out with trying
out with trying the
with trying the poor
trying the poor little
the poor little thing
poor little thing sat
little thing sat down
thing sat down and
sat down and cried
down and cried come
and cried come there
cried come there no
come there no use
there no use in
no use in crying
use in crying like
in crying like that
crying like that said
like that said alice
that said alice to
said alice to herself
alice to herself rather
to herself rather sharply
herself rather sharply i
rather sharply i advise
sharply i advise you
i advise you to
advise you to leave
you to leave off
to leave off this
leave off this minute
off this minute she
this minute she generally
minute she generally gave
she generally gave herself
generally gave herself very
gave herself very good
herself very good advice
very good advice though
good advice though she
advice though she very
though she very seldom
she very seldom followed
very seldom followed it
seldom followed it and
followed it and sometimes
it and sometimes she
and sometimes she scolded
sometimes she scolded herself
she scolded herself so
scolded herself so severely
herself so severely as
so severely as to
severely as to bring
as to bring tears
to bring tears into
bring tears into her
tears into her eyes
into her eyes and
her eyes and once
eyes and once she
and once she remembered
once she remembered trying
she remembered trying to
remembered trying to box
trying to box her
to box her own
box her own ears
her own ears for
own ears for having
ears for having cheated
for having cheated herself
having cheated herself in
cheated herself in a
herself in a game
in a game of
a game of croquet
game of croquet she
of croquet she was
croquet she was playing
she was playing against
was playing against herself
playing against herself for
against herself for this
herself for this curious
for this curious child
this curious child was
curious child was very
child was very fond
was very fond of
very fond of pretending
fond of pretending to
of pretending to be
pretending to be two
to be two people
be two people but
two people but it
people but it no
but it no use
it no use now
no use now thought
use now thought poor
now thought poor alice
thought poor alice to
poor alice to pretend
alice to pretend to
to pretend to be
pretend to be two
to be two people
be two people why
two people why there
people why there hardly
why there hardly enough
there hardly enough of
hardly enough of me
enough of me left
of me left to
me left to make
left to make one
to make one respectable
make one respectable person
one respectable person soon
respectable person soon her
person soon her eye
soon her eye fell
her eye fell on
eye fell on a
fell on a little
on a little glass
a little glass box
little glass box that
glass box that was
box that was lying
that was lying under
was lying under the
lying under the table
under the table she
the table she opened
table she opened it
she opened it and
opened it and found
it and found in
and found in it
found in it a
in it a very
it a very small
a very small cake
very small cake on
small cake on which
cake on which the
on which the words
which the words eat
the words eat me
words eat me were
eat me were beautifully
me were beautifully marked
were beautifully marked in
beautifully marked in currants
marked in currants well
in currants well i
currants well i eat
well i eat it
i eat it said
eat it said alice
it said alice and
said alice and if
alice and if it
and if it makes
if it makes me
it makes me grow
makes me grow larger
me grow larger i
grow larger i can
larger i can reach
i can reach the
can reach the key
reach the key and
the key and if
key and if it
and if it makes
if it makes me
it makes me grow
makes me grow smaller
me grow smaller i
grow smaller i can
smaller i can creep
i can creep under
can creep under the
creep under the door
under the door so
the door so either
door so either way
so either way i
either way i get
way i get into
i get into the
get into the garden
into the garden and
the garden and i
garden and i don
and i don care
i don care which
don care which happens
care which happens she
which happens she ate
happens she ate a
she ate a little
ate a little bit
a little bit and
little bit and said
bit and said anxiously
and said anxiously to
said anxiously to herself
anxiously to herself which
to herself which way
herself which way which
which way which way
way which way holding
which way holding her
way holding her hand
holding her hand on
